,title,published,date,author_corresponding_institution,journal,citation_count
393,Inhibition of Intracellular Lipolysis Promotes Cancer Cell Adaptation to Hypoxia,10.7554/eLife.31132,2017-08-28,Mayo Clinic Arizona,[],22
396,On the Structure and Mechanism of Two-Pore Channels,10.1111/febs.14154,2017-08-29,"University of California, San Francisco",['FEBS J'],10
398,Hsf1 and Hsp70 constitute a two-component feedback loop that regulates the yeast heat shock response,10.7554/elife.31668,2017-08-31,Whitehead Institute for Biomedical Research,[],28
399,GIGYF2 mediates post-transcriptional mRNA repression through recruitment of the CCR4/NOT complex,10.1093/nar/gky198,2017-09-03,Heidelberg University,[],14
400,Disease-Associated Mutations In Human BICD2 Hyperactivate Motility Of Dynein-Dynactin,10.1083/jcb.201703201,2017-09-04,University of California San Francisco,[],23
401,Biochemical characterization and essentiality of Plasmodium fumarate hydratase,10.1074/jbc.m117.816298,2017-09-05,Jawaharlal Nehru Centre for Advanced Scientific Research,['J. Biol. Chem.'],2
403,Structural insights into the architecture of human Importin4_histone H3/H4_Asf1a complex and its histone H3 tail binding,10.1016/j.jmb.2018.01.015,2017-09-06,Korea Advanced Institute of Science and Technology,['Journal of Molecular Biology'],5
404,Integrative structure investigation on the architecture of human Importin4_histone H3/H4_Asf1a complex and its histone H3 tail binding,10.1016/j.jmb.2018.01.015,2017-09-06,Korea Advanced Institute of Science and Technology,['Journal of Molecular Biology'],5
405,Polysaccharide-mediated synthesis of melanins from serotonin and other 5-hydroxy indoles,10.4155/fsoa-2017-0118,2017-09-07,Tennessee State University,['Future Science OA'],0
406,Crystal structure of BrlR reveals a potential pyocyanin binding site,10.1002/1873-3468.12950,2017-09-13,"Department of Biophysics, Molecular Biology and Bioinformatics,  University of Calcutta",['FEBS Lett'],0
407,Evaluating the Functional Pore Size of Chloroplast TOC and TIC Protein Translocons,10.1105/tpc.18.00427,2017-09-13,"University of California, Davis",['Plant Cell'],5
408,Human Rab small GTPase- and class V myosin-mediated membrane tethering in a chemically defined reconstitution system,10.1074/jbc.M117.811356,2017-09-13,Osaka University,['J. Biol. Chem.'],6
409,Nucleolin internalizes Bothrops asper Lys49 phospholipase A2 forming cell surface amyloid-like assemblies,10.1038/s41598-018-28846-4,2017-09-13,"Istituto di Neuroscienze, CNR, Via Ugo Bassi 58/B, 35131, Padova, Italy",['Sci Rep'],6
410,A Cdk1 phosphomimic mutant of MCAK impairs microtubule end recognition.,10.7717/peerj.4034,2017-09-13,University of Nottingham,[],2
416,RNA binding and HEPN nuclease activation are decoupled in CRISPR-Cas13a,10.1016/j.celrep.2018.06.105,2017-09-19,University of Rochester,['Cell Reports'],20
417,Out-of-Register Aβ42 Assemblies as Models for Neurotoxic Oligomers and Fibrils,10.1021/acs.jctc.7b01106,2017-09-19,University of Oklahoma,['J. Chem. Theory Comput.'],6
418,Biogenesis of a mitochondrial DNA inheritance machinery in the mitochondrial outer membrane,10.1371/journal.ppat.1006808,2017-09-19,University of Bern,['PLoS Pathog'],8
419,Transition metal binding selectivity in proteins and its correlation with the phylogenomic classification of the cation diffusion facilitator protein family,10.1038/s41598-017-16777-5,2017-09-19,Ben-Gurion University of the Negev,['Sci Rep'],23
421,Lipid-Uptake Pathways and Lipid-Protein interactions in P-glycoprotein Revealed by Coarse-Grained Molecular Dynamics Simulations,10.1085/jgp.201711907,2017-09-20,University of Calgary,[],12
423,Dephosphorylation is the Mechanism of Fibroblast Growth Factor Inhibition of Guanylyl Cyclase-B,10.1016/j.cellsig.2017.09.021,2017-09-20,University of Minnesota,['Cellular Signalling'],4
424,Deep transcriptome annotation suggests that small and large proteins encoded in the same genes often cooperate,10.7554/elife.27860,2017-09-22,University of Sherbrooke,[],21
425,Molecular basis for the maintenance of lipid asymmetry in the outer membrane of Escherichia coli,10.1074/jbc.ra118.002441,2017-09-22,National University of Singapore,['J. Biol. Chem.'],18
427,A novel dimeric active site and regulation mechanism revealed by the crystal structure of iPLA2β,10.1038/s41467-018-03193-0,2017-09-29,"Department of Biochemistry and Molecular Biology, Saint Louis University School of Medicine",['Nat Commun'],13
429,Short-term stabilities of 21 amino acids in dried blood spots,10.1373/clinchem.2017.278457,2017-09-30,University of Victoria - Genome BC Proteomics Centre,[],5
430,Membrane Proteins Significantly Restrict Exosome Mobility,10.1016/j.bbrc.2018.05.107,2017-09-30,University of Utah,['Biochemical and Biophysical Research Communications'],7
431,Neuropathic mutations in MORC2 perturb GHKL ATPase dimerization dynamics and epigenetic silencing by multiple structural mechanisms,10.1038/s41467-018-03045-x,2017-10-02,University of Cambridge,['Nat Commun'],12
432,Structural Basis for Katanin Self-Assembly,10.1074/jbc.RA117.001215,2017-10-03,"Molecular Cellular Biology, University of California, Davis",['J. Biol. Chem.'],7
433,Temporal profiling of redox-dependent heterogeneity in single cells,10.7554/elife.37623,2017-10-04,Hebrew University of Jerusalem,[],11
436,An open library of human kinase domain constructs for automated bacterial expression,10.1021/acs.biochem.7b01081,2017-10-07,"Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center",['Biochemistry'],1
439,Error-prone bypass of DNA lesions during lagging strand replication is a common source of germline and cancer mutations,10.1038/s41588-018-0285-7,2017-10-10,"Division of Genetics, Brigham and Women s Hospital, Harvard Medical School, Boston, MA, USA",['Nat Genet'],3
440,The centrosomin CM2 domain is a multi-functional binding domain with distinct cell cycle roles,10.1371/journal.pone.0190530,2017-10-10,"University of California, San Francisco & Howard Hughes Medical Institute",['PLoS ONE'],4
441,Development of a riboswitch-based platform for live cell imaging of RNAs in mammalian cells,10.1038/s41589-018-0103-7,2017-10-10,University of Colorado Boulder,['Nat Chem Biol'],33
442,The importance of the photosynthetic Gibbs effect in the elucidation of the Calvin-Benson-Bassham Cycle,10.1042/BST20170245,2017-10-10,Heinrich Heine University Duesseldorf,[],4
443,"Sequence, Structure and Context Preferences of Human RNA Binding Proteins",10.1016/j.molcel.2018.05.001,2017-10-12,MIT,['Molecular Cell'],102
444,"MS Western, a method of multiplexed absolute protein quantification is a practical alternative to western blotting",10.1074/mcp.O117.067082,2017-10-13,"Max Planck Institute of Molecular Cell Biology and Genetics, Dresden, Germany",['Mol Cell Proteomics'],5
446,Base-resolution mapping reveals distinct m1A methylome in nuclear- and mitochondrial-encoded transcripts,10.1016/j.molcel.2017.10.019,2017-10-13,Peking University,['Molecular Cell'],87
448,SIRT2 and lysine fatty acylation regulate the oncogenic activity of K-Ras4a,10.7554/elife.32436,2017-10-15,"Howard Hughes Medical Institute, Cornell University",[],17
450,DNA unwinding is the primary determinant of CRISPR-Cas9 activity,10.1016/j.celrep.2017.12.041,2017-10-19,University of Texas at Austin,['Cell Reports'],41
451,Fibril branching dominates self-assembly of mutant huntingtin exon-1 aggregates in vitro,10.1016/j.jmb.2018.03.017,2017-10-19,"Max Delbrueck Center for Molecular Medicine, Germany",['Journal of Molecular Biology'],7
452,Two distinct DNA sequences recognized by transcription factors represent enthalpy and entropy optima,10.7554/elife.32963,2017-10-19,"University of Cambridge, United Kingdom",[],5
453,Allosteric activation dictates PRC2 activity independent of its recruitment to chromatin,10.1016/j.molcel.2018.03.020,2017-10-20,"HHMI, NYU School of Medicine",['Molecular Cell'],32
455,HSP90 inhibitors disrupt a transient HSP90-HSF1 interaction and identify a noncanonical model of HSP90-mediated HSF1 regulation,10.1038/s41598-018-25404-w,2017-10-20,"Urology Department, Geisinger Clinic, WCR 221, Danville, PA",['Sci Rep'],30
457,Visualization of ligand-induced transmembrane signalling in the full-length human insulin receptor,10.1083/jcb.201711047,2017-10-23,"Paul Langerhans Inst. Dresden, Helmholtz Zentrum Munich, TU Dresden",[],25
458,Programmable RNA recognition using a CRISPR-associated Argonaute,10.1073/pnas.1717725115,2017-10-23,UC Berkeley,['Proc Natl Acad Sci USA'],17
459,Conservation of specificity in two low-specificity proteins,10.1021/acs.biochem.7b01086,2017-10-25,University of Oregon,['Biochemistry'],3
460,OGT (O-GlcNAc Transferase) selectively modifies multiple residues unique to lamin A,10.3390/cells7050044,2017-10-26,"Department of Cell Biology, Johns Hopkins University School of Medicine",['Cells'],0
461,Molecular basis for the recognition of the human AAUAAA polyadenylation signal,10.1073/pnas.1718723115,2017-10-27,Columbia University,['Proc Natl Acad Sci USA'],38
463,Distinct stimulatory mechanisms regulate the catalytic activity of Polycomb Repressive Complex 2 (PRC2),10.1016/j.molcel.2018.03.019,2017-10-28,New York School of Medicine,['Molecular Cell'],20
464,Allosteric activation dictates PRC2 activity independent of its recruitment to chromatin,10.1016/j.molcel.2018.03.020,2017-10-28,"HHMI, NYU School of Medicine",['Molecular Cell'],32
465,Hijacking of Multiple Phospholipid Biosynthetic Pathways and Induction of Membrane Biogenesis by a Picornaviral 3CD Protein,10.1371/journal.ppat.1007086,2017-10-29,The Pennsylvania State University,['PLoS Pathog'],10
466,Underwater hyperspectral classification of deep sea corals exposed to a toxic compound,10.1371/journal.pone.0209960,2017-10-30,Ecotone AS,['PLoS ONE'],3
468,HDAC11 is a fatty-acid deacylase,10.1021/acschembio.7b00942,2017-10-31,"Inst. of Biotechnology of the Czech Academy of Sciences, BIOCEV, Czech Republic",['ACS Chem. Biol.'],35
469,HDAC11 regulates type I interferon signaling through defatty-acylation of SHMT2,10.1073/pnas.1815365116,2017-10-31,"Howard Hughes Medical Institute, Cornell University",['Proc Natl Acad Sci USA'],23
470,Histone Deacetylase 11 is an ε-N-Myristoyllysine Hydrolase,10.1016/j.chembiol.2018.04.007,2017-11-01,University of Copenhagen,['Cell Chemical Biology'],25
474,Distinct stimulatory mechanisms regulate the catalytic activity of Polycomb Repressive Complex 2 (PRC2),10.1016/j.molcel.2018.03.019,2017-11-03,New York School of Medicine,['Molecular Cell'],20
475,Self-oligomerization regulates stability of Survival Motor Neuron (SMN) protein isoforms by sequestering an SCFSlmb degron,10.1091/mbc.E17-11-0627,2017-11-06,University of North Carolina,['MBoC'],12
476,Two distinct DNA sequences recognized by transcription factors represent enthalpy and entropy optima,10.7554/elife.32963,2017-11-07,"University of Cambridge, United Kingdom",[],5
477,Inferring amino acid interactions underlying protein function,10.7554/elife.34300,2017-11-07,UT Southwestern Medical Center,[],26
478,A hyperthermophilic phage decoration protein suggests common evolutionary origin with Herpesvirus Triplex proteins and an anti-CRISPR protein,10.1016/j.str.2018.04.008,2017-11-09,University of Massachusetts Medical School,['Structure'],14
479,Glutathione levels influence chronological life span of Saccharomyces cerevisiae in a glucose-dependent manner,10.1002/yea.3302,2017-11-09,Instituto Tecnologico Superior de Ciudad Hidalgo,['Yeast'],1
480,The effect of macromolecular crowding on single-round transcription by E. coli RNA polymerase,10.1093/nar/gky1277,2017-11-12,UCLA,[],1
481,Structure of transmembrane helix 8 and possible membrane defects in CFTR,10.1016/j.bpj.2018.03.003,2017-11-13,University of Calgary,['Biophysical Journal'],8
482,A hyperthermophilic phage decoration protein suggests common evolutionary origin with Herpesvirus Triplex proteins and an anti-CRISPR protein,10.1016/j.str.2018.04.008,2017-11-13,University of Massachusetts Medical School,['Structure'],14
483,Structure and function of accessory Sec proteins involved in the adhesin export pathway of Streptococcus gordonii,10.1074/jbc.ra117.000963,2017-11-14,"Howard Hughes Medical Institute, Harvard Medical School",['J. Biol. Chem.'],7
484,Multi-Funnel Landscape of the Fold-Switching Protein RfaH-CTD,10.1021/acs.jpcb.7b11352,2017-11-17,University of Oklahoma,['J. Phys. Chem. B'],4
486,Validating Antibodies for Quantitative Western Blot Measurements with Microwestern Array,10.1038/s41598-018-29436-0,2017-11-17,Clemson University,['Sci Rep'],3
487,Partitioning of semisynthetic lipidated N-Ras in lipid raft nanodomains determined by FRET to lipid domain markers,10.1021/acs.biochem.7b01181,2017-11-17,"Chemistry Department, Marquette University",['Biochemistry'],2
488,Transgenic mouse lines expressing the 3xFLAG-dCas9 protein for enChIP analysis,10.1111/gtc.12573,2017-11-18,Hirosaki University Graduate School of Medicine,['Genes Cells'],3
490,Identification of key pathways and metabolic fingerprints of longevity in C. elegans,10.1016/j.exger.2018.10.003,2017-11-21,Academic Medical Center,['Experimental Gerontology'],4
493,Modular assembly of the nucleolar large subunit processome,10.1038/nature26156,2017-11-21,The Rockefeller University,['Nature'],34
494,Blind prediction of noncanonical RNA structure at atomic accuracy,10.1126/sciadv.aar5316,2017-11-22,Stanford University,['Sci. Adv.'],11
495,Structure of the nucleotide exchange factor eIF2B reveals mechanism of memory-enhancing molecule,10.1126/science.aaq0939,2017-11-22,University of California at San Francisco,['Science'],42
496,Mechanochemical Coupling and Bi-Phasic Force-Velocity Dependence in the Ultra-Fast Ring ATPase SpoIIIE,10.7554/eLife.32354,2017-11-22,"University of California, Berkeley",[],1
497,Structure of the nucleotide exchange factor eIF2B reveals mechanism of memory-enhancing molecule,10.1126/science.aaq0939,2017-11-24,University of California at San Francisco,['Science'],42
500,Dimerization of the Pragmin pseudo-kinase regulates protein tyrosine phosphorylation,10.1016/j.str.2018.01.017,2017-11-27,CNRS,['Structure'],11
501,The structure of SALM5 suggests a dimeric assembly for the presynaptic RPTP ligand recognition,10.1093/protein/gzy012,2017-11-27,"Institute of Biotechnology, University of Helsinki",[],7
502,EASI-tag enables accurate multiplexed and interference-free MS2-based proteome quantification,10.1038/s41592-018-0037-8,2017-11-27,Max Planck Institute of Biochemistry,['Nat Methods'],28
503,Producing Hfq/Sm Proteins and sRNAs for Structural and Biophysical Studies of Ribonucleoprotein Assembly,10.1007/978-1-4939-7634-8_16,2017-11-27,University of Virginia,[],1
504,Producing Hfq/Sm Proteins and sRNAs for Structural and Biophysical Studies of Ribonucleoprotein Assembly,10.1007/978-1-4939-7634-8_16,2017-11-27,University of Virginia,[],1
505,The MALDI TOF E2/E3 ligase assay as an universal tool for drug discovery in the ubiquitin pathway,10.1016/j.chembiol.2018.06.004,2017-11-29,"ICaMB, Newcastle University",['Cell Chemical Biology'],15
507,Conformational control of translation termination on the 70S ribosome,10.1016/j.str.2018.04.001,2017-11-29,UMass Medical School,['Structure'],8
508,CRISPR-Cas12a target binding unleashes single-stranded DNase activity,10.1126/science.aar6245,2017-11-29,"University of California, Berkeley",['Science'],256
509,Natively Oxidized Amino Acid Residues in the Spinach Cytochrome b6f Complex,10.1007/s11120-018-0485-0,2017-12-02,"Department of Biological Sciences, Biochemistry and Molecular Biology Section, Louisiana State Univ.",['Photosynth Res'],4
511,A myopic perspective on the future of protein diagnostics,10.1016/j.nbt.2018.01.002,2017-12-04,Uppsala University,['New Biotechnology'],3
512,The emerging role of physical modeling in the future of structure determination,10.1016/j.sbi.2018.03.005,2017-12-04,University of Calgary,['Current Opinion in Structural Biology'],9
513,Choice of PP1 catalytic subunit affects neither the requirement for G-actin nor the insensitivity to Sephin1 of PPP1R15A-regulated eIF2αP dephosphorylation,10.1074/jbc.ra118.002325,2017-12-04,"Cambridge Institute for Medical Research, University of Cambridge, United Kingdom",['J. Biol. Chem.'],13
515,Dual tRNA mimicry in the Cricket Paralysis Virus IRES uncovers an unexpected similarity with the Hepatitis C Virus IRES,10.7554/elife.34062,2017-12-07,Columbia University,[],9
516,Nicotinamide mononucleotide (NMN) affords cardioprotection by stimulating glycolysis,10.1016/j.yjmcc.2018.06.007,2017-12-08,University of Rochester Medical Center,['Journal of Molecular and Cellular Cardiology'],13
517,Mechanisms of KCNQ1 Channel Dysfunction in Long QT Syndrome Involving Voltage Sensor Domain Mutations,10.1126/sciadv.aar2631,2017-12-10,Vanderbilt University,['Sci. Adv.'],28
518,Structure of BrlR reveals a potential pyocyanin binding site,10.1002/1873-3468.12950,2017-12-11,"Department of Biophysics, Molecular Biology and Bioinformatics,  University of Calcutta",['FEBS Lett'],0
519,Three classes of response elements for human PRC2 and MLL1/2-trithorax complexes,10.1093/nar/gky595,2017-12-11,Baylor College of Medicine,[],3
521,Genetic dissection of cyclic pyranopterin monophosphate biosynthesis in plant mitochondria,10.1042/BCJ20170559,2017-12-14,John Innes Centre,[],4
522,Mutations alter RNA-mediated conversion of human prions,10.1021/acsomega.7b02007,2017-12-18,University of Oklahoma,['ACS Omega'],2
523,Importance of homo-dimerization of Fanconi-associated nuclease 1 in DNA flap cleavage,10.1016/j.dnarep.2018.02.007,2017-12-18,"Yale University, New Haven, CT",['DNA Repair'],1
524,Single-cell quantification of the concentration and dissociation constant of endogenous proteins,10.1074/jbc.RA119.007685,2017-12-18,Okazaki Institute for Integrative Bioscience and National Institute for Basic Biology,['J. Biol. Chem.'],3
525,"CRISPR-typing PCR (ctPCR), a new Cas9-based DNA detection method",10.1038/s41598-018-32329-x,2017-12-19,"State Key Laboratory of Bioelectronics, Southeast University, Nanjing 210096, China",['Sci Rep'],4
526,Directed evolution of CRISPR-Cas9 to increase its specificity,10.1038/s41467-018-05477-x,2017-12-19,Institute for Basic Science,['Nat Commun'],74
527,Process proteomics of beer reveals a dynamic proteome with extensive modifications,10.1021/acs.jproteome.7b00907,2017-12-20,The University of Queensland,['J. Proteome Res.'],13
528,Proteomic and biochemical comparison of the cellular interaction partners of human VPS33A and VPS33B,10.1016/j.jmb.2018.05.019,2017-12-20,University of Cambridge,['Journal of Molecular Biology'],8
530,Protein Interaction Screen on Peptide Matrix (PRISMA) reveals interaction footprints and the PTM-dependent interactome of intrinsically disordered C/EBPβ,10.1016/j.isci.2019.02.026,2017-12-22,Max Delbrueck Center,['iScience'],1
531,“CapZyme-Seq” comprehensively defines promoter-sequence determinants for RNA 5’ capping with NAD+,10.1016/j.molcel.2018.03.014,2017-12-24,Rutgers University,['Molecular Cell'],22
532,"Brain, immune system and selenium: a starting point for a new diagnostic marker for Alzheimer’s disease?",10.1177/1757913918778707,2017-12-24,University of Pavia,['Perspect Public Health'],4
533,Self-assembling all-enzyme hydrogels for biocatalytic flow processes,10.1002/anie.201810331,2017-12-27,Karlsruhe Institute of Technology,['Angew. Chem. Int. Ed.'],14
534,The structure of SALM5 suggests a dimeric assembly for the presynaptic RPTP ligand recognition,10.1093/protein/gzy012,2017-12-28,"Institute of Biotechnology, University of Helsinki",[],7
535,“CapZyme-Seq” comprehensively defines promoter-sequence determinants for RNA 5’ capping with NAD+,10.1016/j.molcel.2018.03.014,2017-12-29,Rutgers University,['Molecular Cell'],22
536,Biochemical analyses reveal amino acid residues critical for cell cycle-dependent phosphorylation of human Cdc14A phosphatase by cyclin-dependent kinase 1,10.1038/s41598-018-30253-8,2018-01-02,"Inst de Biologia Molecul y Celular del Cancer, Univ de Salamanca, CSIC, Salamanca",['Sci Rep'],1
537,Comprehensive mapping of Cystic Fibrosis mutations to CFTR protein identifies mutation clusters and molecular docking predicts corrector binding site,10.1002/prot.25496,2018-01-02,Cyclica Inc.,['Proteins'],9
539,RNA-binding proteins with mixed charge domains self-assemble and aggregate in Alzheimer’s Disease,10.1074/jbc.RA118.001747,2018-01-04,Emory University School of Medicine,['J. Biol. Chem.'],14
540,The Rhodobacter sphaeroides methionine sulfoxide reductase MsrP can reduce R- and S- diastereomers of methionine sulfoxide from a broad-spectrum of protein substrates.,10.1042/BCJ20180706,2018-01-05,Laboratoire de Bioenergetique Cellulaire - BIAM - CEA Cadarache,[],1
541,Dynamics of ribosomes and release factors during translation termination in E. coli,10.7554/elife.34252,2018-01-05,Max Planck Institute for Biophysical Chemistry,[],10
545,The human Ska complex and Ndc80 complex interact to form a load-bearing assembly that strengthens kinetochore-microtubule attachments,10.1073/pnas.1718553115,2018-01-08,University of Washington,['Proc Natl Acad Sci USA'],25
547,Quantum chemistry reveals the thermodynamic principles of redoxbiochemistry,10.1371/journal.pcbi.1006471,2018-01-09,"Max Planck Institute of Molecular Plant Physiology, Am Muhlenberg 1, 14476 Potsdam-Golm, Germany",['PLoS Comput Biol'],5
548,Novel phosphorylation states of the yeast spindle pole body,10.1242/bio.033647,2018-01-09,"University of Washington, Department of Biochemistry",['Biology Open'],3
552,Inhibitors of lysosomal function or serum starvation in control or LAMP2 deficient cells do not modify the cellular levels of Parkinson disease-associated DJ-1/PARK7 protein,10.1371/journal.pone.0201152,2018-01-11,Universidad Autonoma de Madrid,['PLoS ONE'],1
553,Evidence for hyper-reductive redox in a subset of heart failure patients,10.1186/s12967-018-1503-x,2018-01-11,"Department of Pathology, University of Alabama at Birmingham, Birmingham, USA",['J Transl Med'],6
554,Automated map sharpening by maximization of detail and connectivity,10.1107/s2059798318004655,2018-01-11,Los Alamos National Laboratory,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",49
556,Engineering of a Polydisperse Small Heat-Shock Protein Reveals Conserved Motifs of Oligomer Plasticity,10.1016/j.str.2018.05.015,2018-01-12,"Department of Molecular Physiology and Biophysics, Vanderbilt University",['Structure'],3
557,Classification of Single Particles from Human Cell Extract Reveals Distinct Structures,10.1016/j.celrep.2018.06.022,2018-01-14,University of Texas at Austin,['Cell Reports'],8
559,Systems pathology analysis identifies neurodegenerative nature of age-related retinal diseases,10.1111/acel.12809,2018-01-15,University of Helsinki,['Aging Cell'],5
561,Functional interaction of low-homology FRPs from different cyanobacteria with Synechocystis OCP,10.1016/j.bbabio.2018.03.001,2018-01-15,"A.N. Bach Institute of Biochemistry, FRC of Biotechnology of RAS",['Biochimica et Biophysica Acta (BBA) - Bioenergetics'],9
562,Efficient Homology Directed Repair by Cas9:DNA Localization and Cationic Polymeric Transfection in Mammalian Cells,10.1089/crispr.2018.0045,2018-01-16,McGill University,['The CRISPR Journal'],4
563,The WYL domain of the PIF1 helicase from the thermophilic bacterium Thermotoga elfii is an accessory single-stranded DNA binding module,10.1021/acs.biochem.7b01233,2018-01-16,Indiana University,['Biochemistry'],9
566,Proteasome Substrate Capture and Gate Activation by Mycobacterium tuberculosis PafE,10.1074/jbc.ra117.001471,2018-01-16,Van Andel Research Institute,['J. Biol. Chem.'],5
567,A structural mechanism for directing inverse agonism of PPARγ,10.1038/s41467-018-07133-w,2018-01-17,The Scripps Research Institute,['Nat Commun'],6
568,The molecular recognition of phosphatidic acid by an amphipathic helix in Opi1,10.1083/jcb.201802027,2018-01-18,Saarland University,[],17
569,Transgenic mouse lines expressing the 3xFLAG-dCas9 protein for enChIP analysis,10.1111/gtc.12573,2018-01-18,Hirosaki University Graduate School of Medicine,['Genes Cells'],3
570,Programmable RNA recognition using a CRISPR-associated Argonaute,10.1073/pnas.1717725115,2018-01-19,UC Berkeley,['Proc Natl Acad Sci USA'],17
571,Fine-tuning of substrate preferences of the Src-family kinase Lck revealed through a high-throughput specificity screen,10.7554/elife.35190,2018-01-19,"University of California, Berkeley",[],9
572,Efficient Homology Directed Repair by Cas9:DNA Localization and Cationic Polymeric Transfection in Mammalian Cells,10.1089/crispr.2018.0045,2018-01-19,McGill University,['The CRISPR Journal'],4
574,Generation of a novel growth-enhanced and reduced environmental impact transgenic pig strain,10.7554/eLife.34286,2018-01-20,South China Agricultural University,[],18
575,"Molecular control of gene expression by Brucella BaaR, an IclR-family repressor",10.1074/jbc.RA118.002045,2018-01-22,University of Chicago,['J. Biol. Chem.'],0
576,An NAD+-dependent sirtuin depropionylase and deacetylase (Sir2La) from the probiotic bacterium Lactobacillus acidophilus NCFM,10.1021/acs.biochem.8b00306,2018-01-23,University of Copenhagen,['Biochemistry'],2
578,Proteomic Profiling of Mammalian COPII Vesicles,10.1016/j.celrep.2018.12.041,2018-01-24,"Heidelberg University Biochemistry Center (BZH), Heidelberg University, Germany",['Cell Reports'],13
579,Coincident binding of synthetic and natural ligands to the nuclear receptor PPARγ,10.7554/elife.43320,2018-01-24,The Scripps Research Institute,[],12
581,"Structural variability of EspG chaperones from mycobacterial ESX-1, ESX-3 and ESX-5 type VII secretion systems",10.1016/j.jmb.2018.11.003,2018-01-24,University of Kentucky,['Journal of Molecular Biology'],3
582,OGT binds a conserved C-terminal domain of TET1 toregulate TET1 activity and function in development,10.7554/eLife.34870,2018-01-25,UCSF,[],9
584,Proteomic Profiling of Mammalian COPII Vesicles,10.1016/j.celrep.2018.12.041,2018-01-25,"Heidelberg University Biochemistry Center (BZH), Heidelberg University, Germany",['Cell Reports'],13
585,"Effects of inhibitors on Hsp90’s conformational dynamics, cochaperone and client interactions",10.1002/cphc.201800342,2018-01-27,University of Freiburg,['ChemPhysChem'],5
586,"Effects of inhibitors on Hsp90’s conformational dynamics, cochaperone and client interactions",10.1002/cphc.201800342,2018-01-28,University of Freiburg,['ChemPhysChem'],5
587,Artefactual formation of pyruvate from in-source conversion of lactate,10.1002/rcm.8159,2018-01-29,"A.J. Drexel Autism Institute, Drexel University",['Rapid Commun Mass Spectrom'],2
588,"iTAP, a novel iRhom interactor, controls TNF secretion by policing the stability of iRhom/TACE",10.7554/elife.35032,2018-01-30,Instituto Gulbenkian de Ciência (IGC),[],13
589,FRMD8 promotes inflammatory and growth factor signalling by stabilising the iRhom/ADAM17 sheddase complex,10.7554/elife.35012,2018-01-30,University of Oxford,[],14
590,Escherichia coli β-clamp slows down DNA polymerase I dependent nick translation while accelerating ligation,10.1371/journal.pone.0199559,2018-01-30,CSIR Institute of Microbial Technology,['PLoS ONE'],1
591,Intron-mediated enhancement boosts Rtn4 circRNA expression: A robust method for exploring circRNA function,10.1038/s41598-019-48224-y,2018-01-30,Max Planck Institute for Biology of Ageing,['Sci Rep'],1
592,Crystal structure of chromo barrel domain of RBBP1,10.1016/j.bbrc.2018.02.016,2018-01-31,Central China Normal University,['Biochemical and Biophysical Research Communications'],1
593,Structural and histone binding studies of the chromo barrel domain of TIP60,10.1002/1873-3468.13021,2018-01-31,Central China Normal University,['FEBS Lett'],1
594,Ferrous iron mediates translation,10.1073/pnas.1803636115,2018-01-31,Georgia Institute of Technology,['Proc Natl Acad Sci USA'],13
595,Analysis of global and site-specific radiation damage in cryo-EM,10.1016/j.str.2018.03.021,2018-02-01,"Howard Hughes Medical Institute and University of California, Los Angeles",['Structure'],47
597,Ferrous iron mediates translation,10.1073/pnas.1803636115,2018-02-01,Georgia Institute of Technology,['Proc Natl Acad Sci USA'],13
600,Doxorubicin induces caspase-mediated proteolysis of KV7.1,10.1038/s42003-018-0162-z,2018-02-03,"Faculty of Chemistry/Biochemistry III, University of Bielefeld",['Commun Biol'],1
602,Defective RNA Polymerase III is negatively regulated by the SUMO-Ubiquitin-Cdc48 Pathway,10.7554/elife.35447,2018-02-04,Salk Institute for Biological Studies,[],6
604,The N-terminus of Sec61p plays key roles in ER protein import and ERAD,10.1371/journal.pone.0215950,2018-02-05,"Faculty NT, Saarland University",['PLoS ONE'],1
606,A Chemical Biology Toolbox for the Study of Protein Methyltransferases and Epigenetic Signaling,10.1038/s41467-018-07905-4,2018-02-05,"Structural Genomics Consortium, University of Toronto",['Nat Commun'],28
607,Structure and mutagenic analysis of the lipid II flippase MurJ from Escherichia coli,10.1073/pnas.1802192115,2018-02-05,Harvard Medical School,['Proc Natl Acad Sci USA'],20
608,Allosteric Mechanism of the V. vulnificus Adenine Riboswitch Resolved by Four-dimensional Chemical Mapping,10.7554/eLife.29602,2018-02-06,Stanford University,[],4
609,Blind prediction of noncanonical RNA structure at atomic accuracy,10.1126/sciadv.aar5316,2018-02-06,Stanford University,['Sci. Adv.'],11
610,A Chemical Biology Toolbox for the Study of Protein Methyltransferases and Epigenetic Signaling,10.1038/s41467-018-07905-4,2018-02-07,"Structural Genomics Consortium, University of Toronto",['Nat Commun'],28
611,Choice of PP1 catalytic subunit affects neither requirement for G-actin nor insensitivity to Sephin1 of PPP1R15A-regulated eIF2αP dephosphorylation,10.1074/jbc.ra118.002325,2018-02-07,"Cambridge Institute for Medical Research, University of Cambridge, United Kingdom",['J. Biol. Chem.'],13
