,title,published
548,Structural lipids enable the formation of functional oligomers of the eukaryotic purine symporter UapA,10.1016/j.chembiol.2018.03.011
549,An Observational Study of Ballooning in Large Spiders: Nanoscale Multi-Fibres Enable Large Spiders’ Soaring Flight,10.1371/journal.pbio.2004405
550,Measurements of three-dimensional refractive index tomography and membrane deformability of live erythrocytes from Pelophylax nigromaculatus,10.1038/s41598-018-25886-8
551,Free energy landscape for the entire transport cycle of triose-phosphate/phosphate translocator,10.1016/j.str.2018.05.012
552,Single-molecule theory of enzymatic inhibition predicts the emergence of inhibitor-activator duality,10.1038/s41467-018-02995-6
553,Optical crosstalk in SPAD arrays for high-throughput single-molecule fluorescence spectroscopy,10.1016/j.nima.2017.11.070
554,Signaling Networks and Dynamics of Allosteric Transitions in Bacterial Chaperonin GroEL: Implications for Iterative Annealing of Misfolded Proteins,10.1098/rstb.2017.0182
555,Geometry of antiparallel microtubule bundles regulates relative sliding and stalling by PRC1 and Kif4A,10.7554/elife.32595
556,Bipolar filaments of human nonmuscle myosin 2-A and 2-B have distinct motile and mechanical properties,10.7554/elife.32871
557,Assembly and translocation of a CRISPR-Cas primed acquisition complex,10.1016/j.cell.2018.09.039
559,Repetitive DNA reeling by the Cascade-Cas3 complex in nucleotide unwinding steps,10.1016/j.molcel.2018.03.031
561,"Single-cell absolute contact probability detection reveals that chromosomes are organized by multiple, low-frequency yet specific interactions",10.1038/s41467-017-01962-x
562,The SAM domain of mouse SAMHD1 is critical for its activation and regulation,10.1038/s41467-017-02783-8
564,Membrane Diffusion Occurs by a Continuous-Time Random Walk Sustained by Vesicular Trafficking.,10.1016/j.bpj.2018.04.024
566,Lipid-protein interplay in dimerization of the juxtamembrane domains of epidermal growth factor receptor,10.1016/j.bpj.2017.12.029
567,48-spot single-molecule FRET setup with periodic acceptor excitation,10.1063/1.5000742
568,Spot-On: robust model-based analysis of single-particle tracking experiments,10.7554/eLife.33125
570,Assembly and translocation of a CRISPR-Cas primed acquisition complex,10.1016/j.cell.2018.09.039
571,A physical model of cell metabolism,10.1038/s41598-018-26724-7
572,Cantu syndrome-associated SUR2 (ABCC9) mutations in distinct structural domains result in KATP channel gain-of-function by differential mechanisms,10.1074/jbc.RA117.000351
573,Getting in shape and swimming: the role of cortical forces and membrane heterogeneity in eukaryotic cells,10.1007/s00285-018-1223-0
574,Effects of Force Fields on the Conformational and Dynamic Properties of Amyloid β(1-40) Dimer Explored by Replica Exchange Molecular Dynamics Simulations,10.1002/prot.25439
575,A novel domain assembly routine for creating full-length models of membrane proteins from known domain structures,10.1021/acs.biochem.7b00995
577,Accounting for Apparent Deviations between Calorimetric and van’t Hoff Enthalpies,10.1016/j.bbagen.2017.11.020
579,Forced-rupture of Cell-Adhesion Complexes Reveals abrupt switch between two Brittle States,10.1063/1.5011056
582,Single-molecule tracking in live Yersinia enterocolitica reveals distinct cytosolic complexes of injectisome subunits,10.1039/c8ib00075a
583,Mutualism between microbial populations in structured environments: the role of geometry in diffusive exchanges,10.1103/PhysRevE.97.022411
585,GeTFEP: a general transfer free energy profile for transmembrane proteins,10.1002/pro.3763
586,The amyloidogenicity of the influenza virus PB1-derived peptide sheds light on its antiviral activity,10.1016/j.bpc.2018.01.001
588,The mechano-chemistry of a monomeric reverse transcriptase,10.1093/nar/gkx1168
589,The fluid membrane determines mechanics of red blood cell extracellular vesicles and is softened in hereditary spherocytosis,10.1038/s41467-018-07445-x
590,A genetically encoded Ca2+ indicator based on circularly permutated sea anemone red fluorescent protein,10.1186/s12915-018-0480-0
591,Bipolar filaments of human nonmuscle myosin 2-A and 2-B have distinct motile and mechanical properties,10.7554/elife.32871
592,A genetically encoded Ca2+ indicator based on circularly permutated sea anemone red fluorescent protein,10.1186/s12915-018-0480-0
593,Molecular mechanism of the dual regulation of bacterial iron sulfur cluster biogenesis by CyaY and IscX,10.3389/fmolb.2017.00097
594,Characterizing highly dynamic conformational states: the transcription bubble in RNAP-promoter open complex as an example,10.1063/1.5004606
596,Theory of site-specific DNA-protein interactions in the presence of nucleosome roadblocks,10.1016/j.bpj.2018.04.039
601,New Cell Fate Potentials and Switching Kinetics Uncovered in a Classic Bistable Genetic Switch,10.1038/s41467-018-05071-1
603,PKD2 is an essential ion channel subunit in the primary cilium of the renal collecting duct epithelium,10.7554/elife.33183
605,Simultaneously measuring image features and resolution in live-cell STED images,10.1016/j.bpj.2018.07.028
606,Tumorcode - A framework to simulate vascularized tumors,10.1140/epje/i2018-11659-x
607,Optical crosstalk in SPAD arrays for high-throughput single-molecule fluorescence spectroscopy,10.1016/j.nima.2017.11.070
608,Realistic vOlumetric-Approach to Simulate Transcranial Electric Stimulation -- ROAST -- a fully automated open-source pipeline,10.1088/1741-2552/ab208d
609,A semi-quantitative analysis of lupus arthritis using contrasted high-field MRI,10.1136/lupus-2018-000264
610,Bringing Diffuse X-ray Scattering Into Focus,10.1016/j.sbi.2018.01.009
611,"New routes for PTP1B allosteric inhibition by multitemperature crystallography, fragment screening and covalent tethering",10.7554/elife.36307
612,DNA sequence encodes the position of DNA supercoils,10.7554/elife.36557
613,Discrete and continuum approximations for collective cell migration in a scratch assay with cell size dynamics,10.1007/s11538-018-0398-2
614,Theory of site-specific DNA-protein interactions in the presence of nucleosome roadblocks,10.1016/j.bpj.2018.04.039
615,Combining optical imaging of cleared tissue with mathematical modelling to predict drug delivery and therapeutic response,10.1038/s41551-018-0306-y
616,Bringing Diffuse X-ray Scattering Into Focus,10.1016/j.sbi.2018.01.009
617,Conversion between parallel and antiparallel β-sheets in wild-type and Iowa mutant fibrils,10.1063/1.5016166
618,Dissecting single cell molecular spatiotemporal mobility and clustering at Focal Adhesions in polarised cells by fluorescence fluctuation spectroscopy methods,10.1016/j.ymeth.2018.03.008
619,Mechanical changes in proteins with large-scale motions highlight the formation of structural locks,10.1016/j.jsb.2018.05.006
620,Flex ddG: Rosetta ensemble-based estimation of changes in protein-protein binding affinity upon mutation,10.1021/acs.jpcb.7b11367
621,Dynamics of a Form-Fitting Protein in a Nanopore: Avidin in ClyA,10.1016/j.bpj.2018.07.024
622,Optical crosstalk in SPAD arrays for high-throughput single-molecule fluorescence spectroscopy,10.1016/j.nima.2017.11.070
623,Denaturants alter the flux through multiple pathways in the folding of PDZ domain,10.1021/acs.jpcb.7b11408
624,Coarse-grained simulations of actomyosin rings point to a nodeless model involving both unipolar and bipolar myosins,10.1091/mbc.e17-12-0736
626,Denaturants alter the flux through multiple pathways in the folding of PDZ domain,10.1021/acs.jpcb.7b11408
627,Shaping Epigenetic Memory via Genomic Bookmarking,10.1093/nar/gkx1200
628,A hidden Markov model approach to characterizing the photo-switching behavior of fluorophores,10.1214/19-AOAS1240
629,Efficient Flexible Backbone Protein-Protein Docking for Challenging Targets,10.1093/bioinformatics/bty355
630,"Authentic Enzyme Intermediates Captured ""on-the-fly"" by Mix-and-Inject Serial Crystallography",10.1186/s12915-018-0524-5
631,IVIM parameters have good scan-rescan reproducibility when evidential motion contaminated and poorly fitted image data are removed,10.1177/0284185118756949
632,Architecture of human interphase chromosome determines the spatiotemporal dynamics of chromatin loci,10.1371/journal.pcbi.1006617
635,Is chaos making a difference? Synchronization transitions in chaotic and non-chaotic neuronal networks,10.1038/s41598-018-26730-9
637,Interaction of lecithin-cholesterol acyltransferase with lipid surfaces and apolipoprotein A-I derived peptides: implications for the cofactor mechanism of apolipoprotein A-I,10.1194/jlr.m082685
638,Nonequilibrium entropic bounds for Darwinian replicators,10.3390/e20020098
639,Architecture of human interphase chromosome determines the spatiotemporal dynamics of chromatin loci,10.1371/journal.pcbi.1006617
641,Gaussian Curvature Directs The Distribution Of Spontaneous Curvature On Bilayer Membrane Necks,10.1039/c8sm00035b
643,Biomolecular simulations under realistic macroscopic salt conditions,10.1021/acs.jpcb.7b11734
645,Single-Molecule Peptide Fingerprinting,10.1073/pnas.1707207115
646,Quinary structure kinetically controls protein function and dysfunction,10.1016/j.molcel.2018.06.016
647,Single-molecule DNA unzipping reveals asymmetric modulation of a transcription factor by its binding site sequence and context,10.1093/nar/gkx1252
653,Tumorcode - A framework to simulate vascularized tumors,10.1140/epje/i2018-11659-x
654,Spatial organization and dynamics of RNase E and ribosomes in Caulobacter crescentus,10.1073/pnas.1721648115
655,Towards simple kinetic models of functional dynamics for a kinase subfamily,10.1038/s41557-018-0077-9
656,Dynamical model of the CLC-2 ion channel exhibits a two-step gating mechanism,10.1371/journal.pcbi.1007530
657,On-line Optimization of Hamiltonian Replica Exchange Simulations,10.1021/acs.jpcb.7b11778
658,Static length changes of cochlear outer hair cells can tune low-frequency hearing,10.1371/journal.pcbi.1005936
659,Endogenous α-SYN protein analysis from human brain tissues using single-molecule pull-down assay,10.1021/acs.analchem.7b04335
660,"A ""Tug of War"" maintains a dynamic protein-membrane complex as shown in all-atom simulations of C-Raf RBD-CRD bound to K-Ras4B at an anionic membrane",10.1021/acscentsci.7b00593
661,Recovery of equilibrium free energy from non-equilibrium thermodynamics with mechanosensitive ion channels in E. coli,10.1016/j.bpj.2017.11.656
664,Cell size regulation through tunable geometric localization of the bacterial actin cytoskeleton,10.1038/s41467-018-03633-x
665,Specific cholesterol binding drives drastic structural alterations in apolipoprotein A1,10.1021/acs.jpclett.8b02042
666,Phasor based single-molecule localization microscopy in 3D (pSMLM-3D): an algorithm for MHz localization rates using standard CPUs,10.1063/1.5005899
668,Quantitative mass imaging of single molecules in solution,10.1126/science.aar5839
669,Specific cardiolipin-SecY interactions are required for proton-motive-force stimulation of protein secretion,10.1073/pnas.1721536115
670,ATP-induced asymmetric pre-protein folding: a driver of protein translocation?,10.7554/eLife.41803
671,Routine Single Particle CryoEM Sample and Grid Characterization by Tomography,10.7554/eLife.34257
672,Conformational Ensemble of RNA Oligonucleotides from Reweighted Molecular Simulations,10.1126/sciadv.aar8521
673,Formation of correlated chromatin domains at nanoscale dynamic resolution during transcription,10.1093/nar/gky269
675,The Relation Between α-Helical Conformation and Amyloidogenicity,10.1016/j.bpj.2018.03.019
676,Repertoire analysis of antibody CDR-H3 loops suggests affinity maturation does not typically result in rigidification,10.3389/fimmu.2018.00413
677,Bringing Diffuse X-ray Scattering Into Focus,10.1016/j.sbi.2018.01.009
678,High resolution in situ structural determination of heterogeneous specimen,10.1038/s41592-018-0167-z
679,Cytoskeletal mechanisms of axonal contractility,10.1016/j.bpj.2018.07.007
681,Using Topological Rearrangements to Characterize De-mixed Liquid Phases in Bio-membranes,10.1016/j.bpj.2018.05.021
683,Routine Single Particle CryoEM Sample and Grid Characterization by Tomography,10.7554/eLife.34257
684,The preprophase band-associated kinesin-14 OsKCH2 is a processive minus-end-directed microtubule motor,10.1038/s41467-018-03480-w
685,Collective cell migration without proliferation: density determines cell velocity and wave velocity,10.1098/rsos.172421
686,Interdependence Theory of Tissue Failure: Bulk and Boundary Effects,10.1098/rsos.171395
688,Elastic Multi-Scale Mechanisms: Computation and Biological Evolution,10.1007/s00239-017-9823-7
689,Structural basis for endotoxin neutralization and anti-inflammatory activity of thrombin-derived C-terminal peptides,10.1038/s41467-018-05242-0
690,Characterizing highly dynamic conformational states: the transcription bubble in RNAP-promoter open complex as an example,10.1063/1.5004606
691,Application of the fluctuation theorem for non-invasive force measurement in living neuronal axons,10.1091/mbc.E18-01-0022
692,Tissue architectural cues drive the emergence of non-random trafficking of human tumor cells in the larval zebrafish,10.1016/j.cels.2019.07.005
693,Cell growth rate dictates the onset of glass to fluid-like transition and long time super-diffusion in an evolving cell colony,10.1103/PhysRevX.8.021025
697,Interaction of lecithin-cholesterol acyltransferase with lipid surfaces and apolipoprotein A-I derived peptides: implications for the cofactor mechanism of apolipoprotein A-I,10.1194/jlr.m082685
698,pytc: a python package for analysis of Isothermal Titration Calorimetry experiments,10.1021/acs.biochem.7b01264
700,Modulation of formin processivity by profilin and mechanical tension,10.7554/elife.34176
701,Evaluation of variability in high resolution protein structures by global distance scoring,10.1016/j.heliyon.2018.e00510
702,"Insights into DNA substrate selection by APOBEC3G from structural, biochemical, and functional studies.",10.1371/journal.pone.0195048
703,Complementary studies of lipid membrane dynamics using iSCAT and STED microscopy,10.1088/1361-6463/aac04f
704,Structural-Kinetic-Thermodynamic Relationships for Peptide Secondary Structure Formation Identified from Transition Network Properties,10.1063/1.5025125
705,"Riding the Cell Jamming Boundary: Geometry, Topology, and Phase of Human Corneal Endothelium",10.1016/j.exer.2018.04.007
706,Theoretical Analysis of Inducer and Operator Binding for Cyclic-AMP Receptor Protein Mutants,10.1371/journal.pone.0204275
708,Competition of Charge-Mediated and Specific Binding by Peptide-Tagged Cationic Liposome-DNA Nanoparticles In Vitro and In Vivo,10.1016/j.biomaterials.2018.02.052
709,Structural organization and energy storage in crosslinked actin-assemblies,10.1371/journal.pcbi.1006150
710,Characterizing the Liquid-liquid Phase Co-existence in Biomembrane: Insights from Local Non-affine Deformation and Topological Rearrangements,10.1016/j.bpj.2018.05.021
711,The role of conformational entropy in the determination of structural-kinetic relationships for helix-coil transitions,10.3390/computation6010021
713,Millieu-Initiated Inversion of he Aqueous Polyproline II/Beta Propensity of the Alanine Tripeptide: Energetics Origin of the Onset of Amyloid Formation,10.1021/acs.jpcb.8b00612
714,Sequence determinants of protein phase behavior from a coarse-grained model,10.1371/journal.pcbi.1005941
716,A systematic approach for dissecting the molecular mechanisms of transcriptional regulation in bacteria,10.1073/pnas.1722055115
717,Cooperativity in Plant Plasma Membrane Intrinsic Proteins (PIPs): Mechanism of Increased Water Transport in Maize PIP1 Channels in Hetero-tetramers,10.1038/s41598-018-30257-4
718,Resolution limit of image analysis algorithms,10.1038/s41467-019-08689-x
720,Development of High-Order Organization of Guanine-Based Reflectors Underlies the Dual Functionality of the Zebrafish Iris,10.1002/advs.201800338
722,Reconstruction of atomistic structures from coarse-grained models for protein-DNA complexes,10.1021/acs.jctc.7b00954
724,MicroED Structures of HIV-1 Gag CTD-SP1 Reveal Binding Interactions with the Maturation Inhibitor Bevirimat,10.1073/pnas.1806806115
725,Outperforming nature: synthetic enzyme built from DNA flips lipids of biological membranes at record rates,10.1038/s41467-018-04821-5
726,Denaturants alter the flux through multiple pathways in the folding of PDZ domain,10.1021/acs.jpcb.7b11408
727,Converting a broad matrix metalloproteinase family inhibitor into a specific inhibitor of MMP-9 and MMP-14,10.1002/1873-3468.13016
728,Polarization of Myosin II refines tissue material properties to buffer mechanical stress.,10.1016/j.devcel.2018.12.020
729,Characterizing the Liquid-liquid Phase Co-existence in Biomembrane: Insights from Local Non-affine Deformation and Topological Rearrangements,10.1016/j.bpj.2018.05.021
731,"Pattern, Pathways and Dynamics of EphA2 SAM and SHIP2 SAM Heterodimer Association Revealed by All-Atom Molecular Dynamics Simulation",10.1021/acs.jctc.9b00195
733,Temporally feathered intensity modulated radiation therapy: a planning technique to reduce normal tissue toxicity,10.1002/mp.12988
735,Cryo-EM structure of an early precursor of large ribosomal subunit reveals a half assembled intermediate,10.1007/s13238-018-0526-7
736,Universal temporal rate of DNA replication origin firing: A balance between origin activation and passivation,10.7554/elife.35192
737,A systematic approach for dissecting the molecular mechanisms of transcriptional regulation in bacteria,10.1073/pnas.1722055115
738,Fidaxomicin jams M. tuberculosis RNA polymerase motions needed for initiation via RbpA contacts,10.7554/eLife.34823
740,Visualization of PRC2-Dinucleosome Interactions Leading to Epigenetic Repression,10.1038/s41594-018-0023-y
741,Minimizing activation of overlying axons with epiretinal stimulation: The role of fiber orientation and electrode configuration,10.1371/journal.pone.0193598
742,"A mixed quantum chemistry/machine learning approach for the fast and accurate prediction of biochemical redox potentials and its large-scale application to 315,000 redox reactions",10.1021/acscentsci.9b00297
744,Green function of correlated genes and themechanical evolution of protein,10.1073/pnas.1716215115
745,Chromatin configuration affects the dynamics and distribution of a transiently interacting protein,10.1016/j.bpj.2017.12.037
746,Membrane Diffusion Occurs by a Continuous-Time Random Walk Sustained by Vesicular Trafficking,10.1016/j.bpj.2018.04.024
748,Physical Principles of HIV Integration,10.1038/s41467-019-08333-8
749,Bringing Diffuse X-ray Scattering Into Focus,10.1016/j.sbi.2018.01.009
750,Fast and Flexible GPU Accelerated Binding Free Energy Calculations within the AMBER Molecular Dynamics Package,10.1002/jcc.25187
751,Universal temporal rate of DNA replication origin firing: A balance between origin activation and passivation,10.7554/elife.35192
753,Substrate deformations induce directed keratinocyte migration,10.1098/rsif.2018.0133
754,Enhanced photon collection enables four dimensional fluorescence nanoscopy of living systems,10.1038/s41467-018-05799-w
755,"Dynamic action of the Sec machinery during initiation, protein translocation and termination revealed by single molecule fluorescence",10.7554/elife.35112
756,The Principle of Similitude in Biology: From Allometry to the Formulation of Dimensionally Homogenous ‘Laws’,10.1007/s12080-019-0408-5
757,Dynein catch bond as a mediator of codependent bidirectional cellular transport,10.1103/PhysRevResearch.1.023019
758,"Enzyme Intermediates Captured ""on-the-fly"" by Mix-and-Inject Serial Crystallography",10.1186/s12915-018-0524-5
759,Irreversible temperature gating in trpv1 sheds light on channel activation,10.7554/elife.36372
760,A label-free approach to detect ligand binding to cell surface proteins in real time,10.7554/elife.34944
762,Development of High-Order Organization of Guanine-Based Reflectors Underlies the Dual Functionality of the Zebrafish Iris,10.1002/advs.201800338
763,The Folding Pathway of an Ig Domain is Conserved On and Off the Ribosome,10.1073/pnas.1810523115
764,qFit-ligand reveals widespread conformational heterogeneity of drug-like molecules in X-ray electron density maps,10.1021/acs.jmedchem.8b01292
766,The yeast GRASP Grh1 displays a high polypeptide backbone mobility along with an amyloidogenic behavior,10.1038/s41598-018-33955-1
767,Dynamical model of the CLC-2 ion channel exhibits a two-step gating mechanism,10.1371/journal.pcbi.1007530
768,Exposure of zebra mussels to extracorporeal shock waves demonstrates formation of new mineralized tissue inside and outside the focus zone,10.1242/bio.033258
770,Mechanical evolution of DNA double-strand breaks in the nucleosome,10.1371/journal.pcbi.1006224
771,Automatic error control during forward flux sampling of rare events in master equation models,10.1063/1.5129461
772,From 1D sequence to 3D chromatin dynamics and cellular functions: a phase separation perspective,10.1093/nar/gky633
774,Halogen-aromatic π-interactions modulate inhibitor residence time,10.1002/anie.201801666
775,Continuous interdomain orientation distributions reveal components of binding thermodynamics,10.1016/j.jmb.2018.06.022
776,Sequence-dependent Three Interaction Site (TIS) Model for Single and Double-stranded DNA,10.1021/acs.jctc.8b00091
777,Homeostasis of protein and mRNA concentrations in growing cells,10.1038/s41467-018-06714-z
778,Determining a reasonable range of relative numerical tolerance values for simulating deterministic models of biochemical reactions,10.1089/cmb.2018.0026
779,Bend-Induced Twist Waves and the Structure of Nucleosomal DNA,10.1103/physrevlett.121.088101
781,Sinusoidal Voltage Protocols For Rapid Characterisation Of Ion Channel Kinetics,10.1113/JP275733
784,Visualizing structure-mediated interactions in supercoiled DNA molecules,10.1093/nar/gky266
785,mol2sphere: Spherical Decomposition of Multi-Domain Molecules for Visualization and Coarse Grained Spatial Modeling,10.1093/bioinformatics/bty487
786,cisTEM: User-friendly software for single-particle image processing,10.7554/eLife.35383
787,Controlling load-dependent contractility of the heart at the single molecule level,10.1038/s41594-018-0069-x
788,Solubilization kinetics determines the pulsatory dynamics of lipid vesicles exposed to surfactant,10.1016/j.bbamem.2018.03.016
789,Selection dynamics in transient compartmentalization,10.1103/PhysRevLett.120.158101
790,Activity of Antimicrobial Peptides Decreases with Increased Cell Membrane Crossing Free Energy Cost,10.1021/acs.biochem.8b00052
791,Reconstruction of atomistic structures from coarse-grained models for protein-DNA complexes,10.1021/acs.jctc.7b00954
792,Defect-Facilitated Buckling in Supercoiled Double-Helix DNA,10.1103/PhysRevE.97.022416
793,Atomic Resolution Mechanism of Ligand Binding to a Solvent Inaccessible Cavity in T4 Lysozyme,10.1371/journal.pcbi.1006180
794,Using Current-flow Scheme to Capture Protein Allosteric Regulation,10.1002/jcc.26108
795,Conservation of conformational dynamics across prokaryotic actins,10.1371/journal.pcbi.1006683
797,Log D Analysis using Dynamic approach,10.1016/j.bbrep.2018.07.006
798,The role of conformational entropy in the determination of structural-kinetic relationships for helix-coil transitions,10.3390/computation6010021
799,Visualizing acto-myosin dynamics and vortices at a membrane surface using interferometric scattering microscopy,10.1016/j.bpj.2020.02.025
800,High-quality ultrastructural preservation using cryofixation for 3D electron microscopy of genetically labeled tissues,10.7554/elife.35524
802,Structural-Kinetic-Thermodynamic Relationships Identified from Physics-based Molecular Simulation Models,10.1063/1.5025125
803,ATP-dependent force generation and membrane scission by ESCRT-III and Vps4,10.1126/science.aat1839
806,"Riding the Cell Jamming Boundary: Geometry, Topology, and Phase of Human Corneal Endothelium",10.1016/j.exer.2018.04.007
807,Specific Eph Receptor-Cytoplasmic Effector Signaling Mediated by SAM-SAM Domain Interactions,10.7554/eLife.35677
808,Properties of Gene Expression and Chromatin Structure with Mechanically Regulated Transcription,10.1093/nar/gky382
809,Substrate conformational dynamics drive structure-specific recognition of gapped DNA by DNA polymerase,10.1093/nar/gkz797
810,Structure of the 30S ribosomal decoding complex at ambient temperature,10.1261/rna.067660.118
811,Properties of Gene Expression and Chromatin Structure with Mechanically Regulated Transcription,10.1093/nar/gky382
812,Computational modeling highlights disordered Formin Homology 1 domain’s role in profilin-actin transfer,10.1002/1873-3468.13088
813,Photon yield enhancement of red fluorophores at cryogenic temperatures,10.1002/cphc.201800131
814,Structure of APP-C991-99 and Implications for Role of Extra-Membrane Domains in Function and Oligomerization,10.1016/j.bbamem.2018.04.002
819,Tunable molecular tension sensors reveal extension-based control of vinculin loading,10.7554/elife.33927
820,Characterizing the 3D structure and dynamics of chromosomes and proteins in a common contact matrix framework,10.1093/nar/gky604
821,CRISPR Cas9 searches for a protospacer adjacent motif by one-dimensional diffusion,10.15252/embj.201899466
823,Multiplex single-molecule DNA barcoding using an oligonucleotide ligation assay,10.1016/j.bpj.2018.08.013
824,Measuring the self-assembly kinetics of individual viral capsids,10.1073/pnas.1909223116
825,PAGE4 and Conformational Switching: Insights from Molecular Dynamics Simulations and Implications for Prostate Cancer,10.1016/j.jmb.2018.05.011
826,Cell growth rate dictates the onset of glass to fluid-like transition and long time super-diffusion in an evolving cell colony,10.1103/PhysRevX.8.021025
827,DNA sequence context controls the binding and processivity of T7 DNA primase,10.1016/j.isci.2018.03.019
829,Constriction rate modulation can drive cell size control and homeostasis in C. crescentus,10.1016/j.isci.2018.05.020
831,Quantifying configuration-sampling error in Langevin simulations of complex molecular systems,10.3390/e20050318
832,DNA sequence context controls the binding and processivity of T7 DNA primase,10.1016/j.isci.2018.03.019
833,Log D Analysis using Dynamic Approach,10.1016/j.bbrep.2018.07.006
835,Constriction rate modulation can drive cell size control and homeostasis in C. crescentus,10.1016/j.isci.2018.05.020
836,MiLeSIM: combining super-resolution and machine learning permits high-throughput virus structure analysis,10.7554/elife.40183
837,Collective motion conceals fitness differences in crowded cellular populations,10.1038/s41559-018-0734-9
838,Spatial moment description of birth-death-movementprocesses incorporating the effects of crowding andobstacles,10.1007/s11538-018-0488-1
839,High precision wavefront control in Point Spread Function engineering for single emitter localization,10.1364/OE.26.008397
841,Efflux Pumps Represent Possible Evolutionary Convergence onto the Beta Barrel Fold,10.1016/j.str.2018.06.007
842,Cryo-EM structure of the adenosine A2A receptor coupled to an engineered heterotrimeric G protein,10.7554/elife.35946
843,Identification and Structure-Activity Relationship of HDAC6 Zinc-finger Ubiquitin Binding Domain Inhibitors,10.1021/acs.jmedchem.8b00258
844,Dissecting Conformational Changes in APP’s Transmembrane Domain Linked to Altered ε-Efficiency of Familial Alzheimer’s Disease Mutants,10.1371/journal.pone.0200077
845,Structure of APP-C991-99 and Implications for Role of Extra-Membrane Domains in Function and Oligomerization,10.1016/j.bbamem.2018.04.002
846,Information transfer in QT-RR dynamics: Towards a model-free QT correction method,10.1038/s41598-018-33359-1
847,PAGE4 and Conformational Switching: Insights from Molecular Dynamics Simulations and Implications for Prostate Cancer,10.1016/j.jmb.2018.05.011
848,Dissecting Conformational Changes in APP’s Transmembrane Domain Linked to ε-Efficiency in Familial Alzheimer’s Disease,10.1371/journal.pone.0200077
849,Differential Recordings of Local Field Potential: A Genuine Tool to Quantify Functional Connectivity,10.1371/journal.pone.0209001
850,Modeling cell-substrate de-adhesion dynamics under fluid shear,10.1088/1478-3975/aabc66
852,"Large, long range tensile forces drive convergence during Xenopus blastopore closure and body axis elongation",10.7554/elife.26944
853,How well do force fields capture the strength of salt bridges in proteins?,10.7717/peerj.4967
854,cisTEM: User-friendly software for single-particle image processing,10.7554/eLife.35383
855,Compartmentalized RNA catalysis in membrane - free coacervate protocells,10.1038/s41467-018-06072-w
856,"Riding the Cell Jamming Boundary: Geometry, Topology, and Phase of Human Corneal Endothelium",10.1016/j.exer.2018.04.007
857,Recruitment of Two Dyneins to an mRNA-Dependent Bicaudal D Transport Complex,10.7554/eLife.36306
858,NMR Protein Structure Determination via Local Conformational Mapping,10.1016/j.str.2019.03.005
859,Molecular dynamics ensemble refinement of the heterogeneous native state of NCBD using chemical shifts and NOEs,10.7717/peerj.5125
860,Stochastic models of cell invasion with fluorescent cell cycle indicators,10.1016/j.physa.2018.06.128
861,Stimulus-responsive self-assembly of enzymatic fractal structures by computational design,10.1038/s41557-019-0277-y
862,Electrodiffusion model of synaptic potentials in dendritic spines,10.1007/s10827-019-00725-5
863,DNA sequence encodes the position of DNA supercoils,10.7554/elife.36557
864,CapsidMesh: atomic-detail structured mesh representation of icosahedral viral capsids and the study of their mechanical properties,10.1002/cnm.2991
865,Accessibility of the Shine-Dalgarno sequence dictates N-terminal codon bias in E. coli,10.1016/j.molcel.2018.05.008
867,Quantifying nucleation in vivo reveals the physical basis of prion-like phase behavior,10.1016/j.molcel.2018.06.016
868,BAR scaffolds drive membrane fission by crowding disordered domains,10.1083/jcb.201807119
869,Ancient Thioredoxins Evolved to Modern Day Stability-Function Requirement by Altering Native State Ensemble,10.1098/rstb.2017.0184
870,Dual roles of electrostatic-steering and conformational dynamics in the binding of calcineurin’s intrinsically-disordered recognition domain to calmodulin,10.1016/j.bbagen.2018.07.027
872,Label-free high-speed wide-field imaging of single microtubules using interference reflection microscopy,10.1111/jmi.12744
873,Dynamical model of the CLC-2 ion channel exhibits a two-step gating mechanism,10.1371/journal.pcbi.1007530
874,Single-molecular and Ensemble-level Oscillations of Cyanobacterial Circadian Clock,10.2142/biophysico.15.0_136
875,Tuning molecular motor transport through cytoskeletal filament network organization,10.1039/C9SM01904A
876,Effect of Ca2+ on the promiscuous target-protein binding mechanism of calmodulin,10.1371/journal.pcbi.1006072
877,LED-based interference-reflection microscopy combined with optical tweezers for quantitative three-dimensional single microtubule imaging,10.1364/oe.26.014499
878,Defining a canonical ligand-binding pocket in the orphan nuclear receptor Nurr1,10.1016/j.str.2018.10.002
879,Microtubule minus-end aster organization is driven by processive HSET-tubulin clusters,10.1038/s41467-018-04991-2
881,Three-dimensional cell geometry controls excitable membrane signaling in Dictyotelium cells,10.1016/j.bpj.2018.12.012
882,The RNA polymerase clamp interconverts dynamically among three states and is stabilized in a partly closed state by ppGpp,10.1093/nar/gky482
883,Complementary studies of lipid membrane dynamics using iSCAT and STED Fluorescence Correlation Spectroscopy,10.1088/1361-6463/aac04f
885,Expansion stimulated emission depletion microscopy (ExSTED),10.1021/acsnano.8b00776
887,Mathematical modeling and simulations for large-strain J-shaped diagrams of soft biological tissues,10.3390/polym10070715
889,A fluorescence correlation spectrometer for measurements in cuvettes,10.1016/j.bpj.2018.05.038
894,"A theoretical high-density nanoscopy study leads to the design of UNLOC, an unsupervised algorithm",10.1016/j.bpj.2018.06.024
896,Adhesion of active cytoskeletal vesicles,10.1016/j.bpj.2018.10.013
898,A Hidden Markov Model for Detecting Confinement in Single Particle Tracking Trajectories,10.1016/j.bpj.2018.09.005
900,Conformational flexibility of collagen molecules: composition and environmental effects,10.1016/j.bpj.2018.09.003
