,title,published,date,author_corresponding_institution,journal,citation_count
756,The Principle of Similitude in Biology: From Allometry to the Formulation of Dimensionally Homogenous ‘Laws’,10.1007/s12080-019-0408-5,2018-01-18,Universidad de Chile,['Theor Ecol'],1
757,Dynein catch bond as a mediator of codependent bidirectional cellular transport,10.1103/PhysRevResearch.1.023019,2018-01-18,"Indian Institute of Technology, Bombay",['Phys. Rev. Research'],2
758,"Enzyme Intermediates Captured ""on-the-fly"" by Mix-and-Inject Serial Crystallography",10.1186/s12915-018-0524-5,2018-01-18,University of Wisconsin-Milwaukee,['BMC Biol'],33
759,Irreversible temperature gating in trpv1 sheds light on channel activation,10.7554/elife.36372,2018-01-20,UNAM,[],15
760,A label-free approach to detect ligand binding to cell surface proteins in real time,10.7554/elife.34944,2018-01-22,Medical University of Vienna,[],8
762,Development of High-Order Organization of Guanine-Based Reflectors Underlies the Dual Functionality of the Zebrafish Iris,10.1002/advs.201800338,2018-01-24,Weizmann Institute of Science,['Adv. Sci.'],7
763,The Folding Pathway of an Ig Domain is Conserved On and Off the Ribosome,10.1073/pnas.1810523115,2018-01-24,NIH,['Proc Natl Acad Sci USA'],25
764,qFit-ligand reveals widespread conformational heterogeneity of drug-like molecules in X-ray electron density maps,10.1021/acs.jmedchem.8b01292,2018-01-25,SLAC National Accelerator Laboratory / Stanford University,['J. Med. Chem.'],11
766,The yeast GRASP Grh1 displays a high polypeptide backbone mobility along with an amyloidogenic behavior,10.1038/s41598-018-33955-1,2018-01-25,University of São Paulo,['Sci Rep'],6
767,Dynamical model of the CLC-2 ion channel exhibits a two-step gating mechanism,10.1371/journal.pcbi.1007530,2018-01-25,Stanford University,['PLoS Comput Biol'],0
768,Exposure of zebra mussels to extracorporeal shock waves demonstrates formation of new mineralized tissue inside and outside the focus zone,10.1242/bio.033258,2018-01-27,"Chair of Neuroanatomy, Institute of Anatomy, LMU Munich, Munich, Germany",['Biology Open'],1
770,Mechanical evolution of DNA double-strand breaks in the nucleosome,10.1371/journal.pcbi.1006224,2018-01-27,"IEMN, University of Lille",['PLoS Comput Biol'],2
771,Automatic error control during forward flux sampling of rare events in master equation models,10.1063/1.5129461,2018-01-27,Johns Hopkins University,['J. Chem. Phys.'],0
772,From 1D sequence to 3D chromatin dynamics and cellular functions: a phase separation perspective,10.1093/nar/gky633,2018-01-28,"College of Chemistry and Molecular Engineering, Peking University",[],6
774,Halogen-aromatic π-interactions modulate inhibitor residence time,10.1002/anie.201801666,2018-01-29,Goethe-University Frankfurt,['Angew. Chem. Int. Ed.'],16
775,Continuous interdomain orientation distributions reveal components of binding thermodynamics,10.1016/j.jmb.2018.06.022,2018-01-29,Duke University,['Journal of Molecular Biology'],5
776,Sequence-dependent Three Interaction Site (TIS) Model for Single and Double-stranded DNA,10.1021/acs.jctc.8b00091,2018-01-29,University of Texas at Austin,['J. Chem. Theory Comput.'],6
777,Homeostasis of protein and mRNA concentrations in growing cells,10.1038/s41467-018-06714-z,2018-01-29,Harvard University,['Nat Commun'],19
778,Determining a reasonable range of relative numerical tolerance values for simulating deterministic models of biochemical reactions,10.1089/cmb.2018.0026,2018-01-29,Oklahoma State University,['Journal of Computational Biology'],1
779,Bend-Induced Twist Waves and the Structure of Nucleosomal DNA,10.1103/physrevlett.121.088101,2018-01-30,KU Leuven,['Phys. Rev. Lett.'],6
781,Sinusoidal Voltage Protocols For Rapid Characterisation Of Ion Channel Kinetics,10.1113/JP275733,2018-01-31,University of Nottingham,['J Physiol'],19
784,Visualizing structure-mediated interactions in supercoiled DNA molecules,10.1093/nar/gky266,2018-01-31,McGill University,[],12
785,mol2sphere: Spherical Decomposition of Multi-Domain Molecules for Visualization and Coarse Grained Spatial Modeling,10.1093/bioinformatics/bty487,2018-01-31,University of Connecticut School of Medicine,[],1
786,cisTEM: User-friendly software for single-particle image processing,10.7554/eLife.35383,2018-01-31,Howard Hughes Medical Institute,[],223
787,Controlling load-dependent contractility of the heart at the single molecule level,10.1038/s41594-018-0069-x,2018-01-31,Stanford University School of Medicine,['Nat Struct Mol Biol'],21
788,Solubilization kinetics determines the pulsatory dynamics of lipid vesicles exposed to surfactant,10.1016/j.bbamem.2018.03.016,2018-02-01,University of California San Diego,['Biochimica et Biophysica Acta (BBA) - Biomembranes'],3
789,Selection dynamics in transient compartmentalization,10.1103/PhysRevLett.120.158101,2018-02-01,ESPCI,['Phys. Rev. Lett.'],8
790,Activity of Antimicrobial Peptides Decreases with Increased Cell Membrane Crossing Free Energy Cost,10.1021/acs.biochem.8b00052,2018-02-01,University of California Berkeley,['Biochemistry'],5
791,Reconstruction of atomistic structures from coarse-grained models for protein-DNA complexes,10.1021/acs.jctc.7b00954,2018-02-03,"Department of Biophysics, Graduate School of Science, Kyoto University",['J. Chem. Theory Comput.'],6
792,Defect-Facilitated Buckling in Supercoiled Double-Helix DNA,10.1103/PhysRevE.97.022416,2018-02-04,Northwestern University,['Phys. Rev. E'],4
793,Atomic Resolution Mechanism of Ligand Binding to a Solvent Inaccessible Cavity in T4 Lysozyme,10.1371/journal.pcbi.1006180,2018-02-04,Tata Institute of Fundamental Research Hyderabad,['PLoS Comput Biol'],18
794,Using Current-flow Scheme to Capture Protein Allosteric Regulation,10.1002/jcc.26108,2018-02-04,Western University of Health Sciences,['J Comput Chem'],0
795,Conservation of conformational dynamics across prokaryotic actins,10.1371/journal.pcbi.1006683,2018-02-05,Stanford University,['PLoS Comput Biol'],1
797,Log D Analysis using Dynamic approach,10.1016/j.bbrep.2018.07.006,2018-02-05,"Jimma institute of technology, Jimma University, Ethiopia",['Biochemistry and Biophysics Reports'],2
798,The role of conformational entropy in the determination of structural-kinetic relationships for helix-coil transitions,10.3390/computation6010021,2018-02-05,Max Planck Institute for Polymer Research,['Computation'],3
799,Visualizing acto-myosin dynamics and vortices at a membrane surface using interferometric scattering microscopy,10.1016/j.bpj.2020.02.025,2018-02-06,"University Warwick, National Centre for Biological Sciences",['Biophysical Journal'],0
800,High-quality ultrastructural preservation using cryofixation for 3D electron microscopy of genetically labeled tissues,10.7554/elife.35524,2018-02-07,"University of California, San Diego",[],13
802,Structural-Kinetic-Thermodynamic Relationships Identified from Physics-based Molecular Simulation Models,10.1063/1.5025125,2018-02-07,Max Planck Institute for Polymer Research,['The Journal of Chemical Physics'],5
803,ATP-dependent force generation and membrane scission by ESCRT-III and Vps4,10.1126/science.aat1839,2018-02-07,UC Berkeley,['Science'],32
806,"Riding the Cell Jamming Boundary: Geometry, Topology, and Phase of Human Corneal Endothelium",10.1016/j.exer.2018.04.007,2018-02-08,University of Auckland,['Experimental Eye Research'],3
807,Specific Eph Receptor-Cytoplasmic Effector Signaling Mediated by SAM-SAM Domain Interactions,10.7554/eLife.35677,2018-02-09,The Hong Kong University of Science and Technology,[],7
808,Properties of Gene Expression and Chromatin Structure with Mechanically Regulated Transcription,10.1093/nar/gky382,2018-02-10,"Rice University, CTBP",[],11
809,Substrate conformational dynamics drive structure-specific recognition of gapped DNA by DNA polymerase,10.1093/nar/gkz797,2018-02-10,University of Sheffield,[],2
810,Structure of the 30S ribosomal decoding complex at ambient temperature,10.1261/rna.067660.118,2018-02-10,Stanford PULSE Institute,['RNA'],7
811,Properties of Gene Expression and Chromatin Structure with Mechanically Regulated Transcription,10.1093/nar/gky382,2018-02-10,"Rice University, CTBP",[],11
812,Computational modeling highlights disordered Formin Homology 1 domain’s role in profilin-actin transfer,10.1002/1873-3468.13088,2018-02-11,Lehigh University,['FEBS Lett'],5
813,Photon yield enhancement of red fluorophores at cryogenic temperatures,10.1002/cphc.201800131,2018-02-11,Delft University of Technology,['ChemPhysChem'],4
814,Structure of APP-C991-99 and Implications for Role of Extra-Membrane Domains in Function and Oligomerization,10.1016/j.bbamem.2018.04.002,2018-02-11,Boston University,['Biochimica et Biophysica Acta (BBA) - Biomembranes'],9
819,Tunable molecular tension sensors reveal extension-based control of vinculin loading,10.7554/elife.33927,2018-02-12,Duke University,[],25
820,Characterizing the 3D structure and dynamics of chromosomes and proteins in a common contact matrix framework,10.1093/nar/gky604,2018-02-13,U of Tennessee,[],5
821,CRISPR Cas9 searches for a protospacer adjacent motif by one-dimensional diffusion,10.15252/embj.201899466,2018-02-13,"Kavli Institute of Nanoscience and Department of BioNanoScience, Delft University of Technology",['EMBO J'],11
823,Multiplex single-molecule DNA barcoding using an oligonucleotide ligation assay,10.1016/j.bpj.2018.08.013,2018-02-13,Delft University of Technology,['Biophysical Journal'],2
824,Measuring the self-assembly kinetics of individual viral capsids,10.1073/pnas.1909223116,2018-02-14,Harvard University,['Proc Natl Acad Sci USA'],3
825,PAGE4 and Conformational Switching: Insights from Molecular Dynamics Simulations and Implications for Prostate Cancer,10.1016/j.jmb.2018.05.011,2018-02-14,"Center for Theoretical Biological Physics, Rice University",['Journal of Molecular Biology'],14
826,Cell growth rate dictates the onset of glass to fluid-like transition and long time super-diffusion in an evolving cell colony,10.1103/PhysRevX.8.021025,2018-02-15,"University of Texas, Austin",['Phys. Rev. X'],6
827,DNA sequence context controls the binding and processivity of T7 DNA primase,10.1016/j.isci.2018.03.019,2018-02-16,Ben-Gurion University of the Negev,['iScience'],1
829,Constriction rate modulation can drive cell size control and homeostasis in C. crescentus,10.1016/j.isci.2018.05.020,2018-02-16,Ecole Polytechnique Federale de Lausanne (EPFL),['iScience'],9
831,Quantifying configuration-sampling error in Langevin simulations of complex molecular systems,10.3390/e20050318,2018-02-16,"Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center",['Entropy'],4
832,DNA sequence context controls the binding and processivity of T7 DNA primase,10.1016/j.isci.2018.03.019,2018-02-17,Ben-Gurion University of the Negev,['iScience'],1
833,Log D Analysis using Dynamic Approach,10.1016/j.bbrep.2018.07.006,2018-02-17,"Jimma institute of technology, Jimma University, Ethiopia",['Biochemistry and Biophysics Reports'],2
835,Constriction rate modulation can drive cell size control and homeostasis in C. crescentus,10.1016/j.isci.2018.05.020,2018-02-18,Ecole Polytechnique Federale de Lausanne (EPFL),['iScience'],9
836,MiLeSIM: combining super-resolution and machine learning permits high-throughput virus structure analysis,10.7554/elife.40183,2018-02-18,"Laser Analytics Group, Department of Chemical Engineering and Biotechnology, Cambridge University",[],0
837,Collective motion conceals fitness differences in crowded cellular populations,10.1038/s41559-018-0734-9,2018-02-18,"University of California, Berkeley",['Nat Ecol Evol'],7
838,Spatial moment description of birth-death-movementprocesses incorporating the effects of crowding andobstacles,10.1007/s11538-018-0488-1,2018-02-18,Queensland University of Technology,['Bull Math Biol'],9
839,High precision wavefront control in Point Spread Function engineering for single emitter localization,10.1364/OE.26.008397,2018-02-19,Delft University of Technology,['Opt. Express'],17
841,Efflux Pumps Represent Possible Evolutionary Convergence onto the Beta Barrel Fold,10.1016/j.str.2018.06.007,2018-02-19,University of Kansas,['Structure'],4
842,Cryo-EM structure of the adenosine A2A receptor coupled to an engineered heterotrimeric G protein,10.7554/elife.35946,2018-02-19,"MRC LMB Cambridge, UK",[],64
843,Identification and Structure-Activity Relationship of HDAC6 Zinc-finger Ubiquitin Binding Domain Inhibitors,10.1021/acs.jmedchem.8b00258,2018-02-20,University of Toronto,['J. Med. Chem.'],12
844,Dissecting Conformational Changes in APP’s Transmembrane Domain Linked to Altered ε-Efficiency of Familial Alzheimer’s Disease Mutants,10.1371/journal.pone.0200077,2018-02-21,"Technical University of Munich, Physics of Synthetic Biological Systems",['PLoS ONE'],8
845,Structure of APP-C991-99 and Implications for Role of Extra-Membrane Domains in Function and Oligomerization,10.1016/j.bbamem.2018.04.002,2018-02-21,Boston University,['Biochimica et Biophysica Acta (BBA) - Biomembranes'],9
846,Information transfer in QT-RR dynamics: Towards a model-free QT correction method,10.1038/s41598-018-33359-1,2018-02-22,Tampere University of Technology,['Sci Rep'],2
847,PAGE4 and Conformational Switching: Insights from Molecular Dynamics Simulations and Implications for Prostate Cancer,10.1016/j.jmb.2018.05.011,2018-02-22,"Center for Theoretical Biological Physics, Rice University",['Journal of Molecular Biology'],14
848,Dissecting Conformational Changes in APP’s Transmembrane Domain Linked to ε-Efficiency in Familial Alzheimer’s Disease,10.1371/journal.pone.0200077,2018-02-22,"Technical University of Munich, Physics of Synthetic Biological Systems",['PLoS ONE'],8
849,Differential Recordings of Local Field Potential: A Genuine Tool to Quantify Functional Connectivity,10.1371/journal.pone.0209001,2018-02-23,UMR5292 CRNL CNRS Claude Bernard University Lyon1,['PLoS ONE'],2
850,Modeling cell-substrate de-adhesion dynamics under fluid shear,10.1088/1478-3975/aabc66,2018-02-23,Raman Research Institute,['Phys. Biol.'],4
852,"Large, long range tensile forces drive convergence during Xenopus blastopore closure and body axis elongation",10.7554/elife.26944,2018-02-27,University of Virginia,[],15
853,How well do force fields capture the strength of salt bridges in proteins?,10.7717/peerj.4967,2018-02-27,University of Copenhagen,[],13
854,cisTEM: User-friendly software for single-particle image processing,10.7554/eLife.35383,2018-02-27,Howard Hughes Medical Institute,[],223
855,Compartmentalized RNA catalysis in membrane - free coacervate protocells,10.1038/s41467-018-06072-w,2018-02-28,Max-Planck Institute for Molecular Cell Biology and Genetics,['Nat Commun'],43
856,"Riding the Cell Jamming Boundary: Geometry, Topology, and Phase of Human Corneal Endothelium",10.1016/j.exer.2018.04.007,2018-02-28,University of Auckland,['Experimental Eye Research'],3
857,Recruitment of Two Dyneins to an mRNA-Dependent Bicaudal D Transport Complex,10.7554/eLife.36306,2018-02-28,University of Vermont,[],15
858,NMR Protein Structure Determination via Local Conformational Mapping,10.1016/j.str.2019.03.005,2018-02-28,"Dept. of Protein Evolution, Max-Planck-Institute for Developmental Biology",['Structure'],0
859,Molecular dynamics ensemble refinement of the heterogeneous native state of NCBD using chemical shifts and NOEs,10.7717/peerj.5125,2018-02-28,University of Copenhagen,[],4
860,Stochastic models of cell invasion with fluorescent cell cycle indicators,10.1016/j.physa.2018.06.128,2018-03-01,Queensland Univeristy of Technology,['Physica A: Statistical Mechanics and its Applications'],11
861,Stimulus-responsive self-assembly of enzymatic fractal structures by computational design,10.1038/s41557-019-0277-y,2018-03-01,Rutgers University,['Nat. Chem.'],6
862,Electrodiffusion model of synaptic potentials in dendritic spines,10.1007/s10827-019-00725-5,2018-03-01,Columbia University,['J Comput Neurosci'],2
863,DNA sequence encodes the position of DNA supercoils,10.7554/elife.36557,2018-03-01,"Department of Bionanoscience, Kavli Institute of Nanoscience, Delft University of Technology",[],10
864,CapsidMesh: atomic-detail structured mesh representation of icosahedral viral capsids and the study of their mechanical properties,10.1002/cnm.2991,2018-03-02,"Biomolecular Diversity Lab, CINVESTAV Unidad Monterrey, México",['Int J Numer Meth Biomed Engng'],2
865,Accessibility of the Shine-Dalgarno sequence dictates N-terminal codon bias in E. coli,10.1016/j.molcel.2018.05.008,2018-03-02,Harvard University,['Molecular Cell'],20
867,Quantifying nucleation in vivo reveals the physical basis of prion-like phase behavior,10.1016/j.molcel.2018.06.016,2018-03-02,Stowers Institute for Medical Research,['Molecular Cell'],29
868,BAR scaffolds drive membrane fission by crowding disordered domains,10.1083/jcb.201807119,2018-03-04,University of Texas at Austin,[],8
869,Ancient Thioredoxins Evolved to Modern Day Stability-Function Requirement by Altering Native State Ensemble,10.1098/rstb.2017.0184,2018-03-04,Arizona State University,['Phil. Trans. R. Soc. B'],10
870,Dual roles of electrostatic-steering and conformational dynamics in the binding of calcineurin’s intrinsically-disordered recognition domain to calmodulin,10.1016/j.bbagen.2018.07.027,2018-03-06,"University of Kentucky, Chemistry Department",['Biochimica et Biophysica Acta (BBA) - General Subjects'],1
872,Label-free high-speed wide-field imaging of single microtubules using interference reflection microscopy,10.1111/jmi.12744,2018-03-06,"Department of molecular biophysics and biochemistry, Yale university",['Journal of Microscopy'],12
873,Dynamical model of the CLC-2 ion channel exhibits a two-step gating mechanism,10.1371/journal.pcbi.1007530,2018-03-07,Stanford University,['PLoS Comput Biol'],0
874,Single-molecular and Ensemble-level Oscillations of Cyanobacterial Circadian Clock,10.2142/biophysico.15.0_136,2018-03-07,Nagoya University,['BIOPHYSICS'],1
875,Tuning molecular motor transport through cytoskeletal filament network organization,10.1039/C9SM01904A,2018-03-07,University of Chicago,['Soft Matter'],0
876,Effect of Ca2+ on the promiscuous target-protein binding mechanism of calmodulin,10.1371/journal.pcbi.1006072,2018-03-07,KTH,['PLoS Comput Biol'],14
877,LED-based interference-reflection microscopy combined with optical tweezers for quantitative three-dimensional single microtubule imaging,10.1364/oe.26.014499,2018-03-07,Eberhard Karls Universität Tübingen,['Opt. Express'],12
878,Defining a canonical ligand-binding pocket in the orphan nuclear receptor Nurr1,10.1016/j.str.2018.10.002,2018-03-07,The Scripps Research Institute,['Structure'],5
879,Microtubule minus-end aster organization is driven by processive HSET-tubulin clusters,10.1038/s41467-018-04991-2,2018-03-08,Vanderbilt University,['Nat Commun'],12
881,Three-dimensional cell geometry controls excitable membrane signaling in Dictyotelium cells,10.1016/j.bpj.2018.12.012,2018-03-08,University of Stuttgart,['Biophysical Journal'],3
882,The RNA polymerase clamp interconverts dynamically among three states and is stabilized in a partly closed state by ppGpp,10.1093/nar/gky482,2018-03-08,University of Oxford,[],10
883,Complementary studies of lipid membrane dynamics using iSCAT and STED Fluorescence Correlation Spectroscopy,10.1088/1361-6463/aac04f,2018-03-08,"University of Oxford, Friedrich-Schiller University, Leibniz Institute of Photonic Technology (IPHT)",['J. Phys. D: Appl. Phys.'],9
885,Expansion stimulated emission depletion microscopy (ExSTED),10.1021/acsnano.8b00776,2018-03-08,"Institute for Biochemistry, Free University Berlin",['ACS Nano'],41
887,Mathematical modeling and simulations for large-strain J-shaped diagrams of soft biological tissues,10.3390/polym10070715,2018-03-08,"National Institute of Technology, Ibaraki College",['Polymers'],6
889,A fluorescence correlation spectrometer for measurements in cuvettes,10.1016/j.bpj.2018.05.038,2018-03-08,Tata Institute of Fundamental Research,['Biophysical Journal'],2
894,"A theoretical high-density nanoscopy study leads to the design of UNLOC, an unsupervised algorithm",10.1016/j.bpj.2018.06.024,2018-03-08,Centre d'Immunologie de Marseille Luminy,['Biophysical Journal'],6
896,Adhesion of active cytoskeletal vesicles,10.1016/j.bpj.2018.10.013,2018-03-08,TUM,['Biophysical Journal'],2
898,A Hidden Markov Model for Detecting Confinement in Single Particle Tracking Trajectories,10.1016/j.bpj.2018.09.005,2018-03-08,Warwick University,['Biophysical Journal'],6
900,Conformational flexibility of collagen molecules: composition and environmental effects,10.1016/j.bpj.2018.09.003,2018-03-09,Simon Fraser University,['Biophysical Journal'],7
901,A strategy to study intrinsically mixed folded proteins: The structure in solution of ataxin-3,10.1016/j.bpj.2018.05.029,2018-03-09,King's College London,['Biophysical Journal'],1
902,Lipid droplet phase transition in freezing cat embryos and oocytes probed by Raman spectroscopy,10.1016/j.bpj.2018.06.019,2018-03-09,Institute of Automation and Electrometry,['Biophysical Journal'],4
903,Structure of the 30S ribosomal decoding complex at ambient temperature,10.1261/rna.067660.118,2018-03-09,Stanford PULSE Institute,['RNA'],7
904,Effect of 5-trans isomer of arachidonic acid on model liposomal membranes studied by a combined simulation and experimental approach,10.1007/s00232-018-0029-8,2018-03-09,"Biomedical Research Foundation Academy of Athens, 4 Soranou Ephessiou, 11527 Athens, Greece",['J Membrane Biol'],1
905,SESCA: Predicting the Circular Dichroism Spectra of Proteins from Molecular Structure,10.1021/acs.jctc.9b00203,2018-03-09,"Dept of Theoretical & Computational Biophysics, Max Planck Institute for Biophysical Chemistry",['J. Chem. Theory Comput.'],0
908,Radioprotective role of cyanobacterial phycobilisomes,10.1016/j.bbabio.2018.11.018,2018-03-13,Lomonosov Moscow State University,['Biochimica et Biophysica Acta (BBA) - Bioenergetics'],1
909,The Dynamics and Energy Landscape of DNA Plectoneme Nucleation,10.1103/PhysRevE.98.042412,2018-03-13,LMU Munich,['Phys. Rev. E'],4
910,Conformational flexibility of collagen molecules: composition and environmental effects,10.1016/j.bpj.2018.09.003,2018-03-14,Simon Fraser University,['Biophysical Journal'],7
911,Identifying G protein-coupled receptor dimers from crystal packings,10.1107/s2059798318008136,2018-03-14,University of Washington,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",9
912,Predicting three-dimensional genome organization with chromatin states,10.1371/journal.pcbi.1007024,2018-03-14,Massachusetts Institute of Technology,['PLoS Comput Biol'],16
913,Structure of the mouse TRPC4 ion channel,10.1038/s41467-018-05247-9,2018-03-15,"Howard Hughes Medical Institute, Harvard Medical School",['Nat Commun'],42
914,ERASE: a novel surface reconditioning strategy for single-molecule experiments,10.1093/nar/gky1168,2018-03-15,"Georgia Institute of Technology, Atlanta, GA, USA",[],0
915,Structure of the receptor-activated human TRPC6 ion channel,10.1038/s41422-018-0038-2,2018-03-15,Dizal Pharmaceutical Company,['Cell Res'],55
917,Predicting three-dimensional genome organization with chromatin states,10.1371/journal.pcbi.1007024,2018-03-15,Massachusetts Institute of Technology,['PLoS Comput Biol'],16
920,Cochaperones enable Hsp70 to fold proteins like a Maxwell’s demon,10.1038/s41598-018-31641-w,2018-03-15,Unaffiliated,['Sci Rep'],2
921,Ligand binding and conformational changes of SUR1 subunit in pancreatic ATP-sensitive potassium channels,10.1007/s13238-018-0530-y,2018-03-16,Peking University,['Protein Cell'],22
922,Mapping local and global liquid-liquid phase behavior in living cells using light-activated multivalent seeds,10.1016/j.cell.2018.10.048,2018-03-16,Princeton University,['Cell'],56
923,DNA crookedness regulates DNA mechanical properties at short length scales,10.1103/physrevlett.122.048102,2018-03-16,"Department of Macromolecular Structures, Centro Nacional de Biotecnologia (CNB-CSIC), Madrid, Spain",['Phys. Rev. Lett.'],7
924,Pollen Patterns Form from Modulated Phases,10.1016/j.cell.2019.01.014,2018-03-16,University of Pennsylvania,['Cell'],9
926,Switch-like activation of Bruton’s tyrosine kinase by membrane-mediated dimerization,10.1073/pnas.1819309116,2018-03-17,UC Berkeley,['Proc Natl Acad Sci USA'],3
929,Biomolecular simulations under realistic macroscopic salt conditions,10.1021/acs.jpcb.7b11734,2018-03-18,"Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center",['J. Phys. Chem. B'],5
931,A Bayesian sequential learning framework to parameterise continuum models of melanoma invasion into human skin,10.1007/s11538-018-0532-1,2018-03-19,Queensland University of Technology,['Bull Math Biol'],7
933,Structural transition and antibody binding of Ebola GP and Zika E proteins from pre-fusion to fusion-initiation state,10.3390/biom8020025,2018-03-20,LANL,['Biomolecules'],3
934,DNA-Encircled Lipid Bilayers,10.1039/c8nr06505e,2018-03-21,"Center for Advancing Electronics Dresden (cfaed), Technische Universitaet Dresden",['Nanoscale'],6
936,Linear motor driven-rotary motion of a membrane-permeabilized ghost in Mycoplasma mobile,10.1038/s41598-018-29875-9,2018-03-21,Gakushuin University,['Sci Rep'],8
937,Structure of the human lipid-sensitive cation channel TRPC3,10.7554/eLife.36852,2018-03-21,Van Andel Research Institute,[],46
938,Optical Imaging of Metabolic Dynamics in Animals,10.1038/s41467-018-05401-3,2018-03-22,Columbia University,['Nat Commun'],19
939,Characterisation of molecular motions in cryo-EM single-particle data by multi-body refinement in RELION,10.7554/elife.36861,2018-03-22,MRC Laboratory of Molecular Biology,[],118
940,How small-molecule inhibitors of dengue-virus infection interfere with viral membrane fusion,10.7554/elife.36461,2018-03-22,Dept. of Biological Chemistry and Molecular Pharmacology and Howard Hughes Medical Institute,[],5
941,Cochaperones enable Hsp70 to fold proteins like a Maxwell’s demon,10.1038/s41598-018-31641-w,2018-03-22,Unaffiliated,['Sci Rep'],2
943,Cryo-EM structure of the polycystin 2-l1 ion channel,10.7554/elife.36931,2018-03-22,Howard Hughes Medical Institute,[],20
944,Mavacamten stabilizes the auto-inhibited state of two-headed cardiac myosin,10.1073/pnas.1720342115,2018-03-22,"Department of Biochemistry, Molecular Biology, and Biophysics University of Minnesota",['Proc Natl Acad Sci USA'],20
945,Kinetic analysis methods applied to single motor protein trajectories,10.1039/c8cp03056a,2018-03-23,"Centre de Biochimie Structurale, CNRS",['Phys. Chem. Chem. Phys.'],0
946,Nanoscale spatio-temporal diffusion modes measured by simultaneous confocal and STED imaging,10.1021/acs.nanolett.8b01190,2018-03-23,University of Oxford,['Nano Lett.'],6
947,Mavacamten stabilizes the auto-inhibited state of two-headed cardiac myosin,10.1073/pnas.1720342115,2018-03-23,"Department of Biochemistry, Molecular Biology, and Biophysics University of Minnesota",['Proc Natl Acad Sci USA'],20
948,Non-productive Binding Modes as a Prominent Feature of Aβ1-40 Fiber Elongation: Insights from Molecular Dynamics Simulation,10.1021/acs.jcim.8b00169,2018-03-23,"Department of Biophysics, Bose Institute, P-1/12 CIT Scheme VII (M), Kolkata 700054, India",['J. Chem. Inf. Model.'],5
949,High precision wavefront control in point spread function engineering for single emitter localization,10.1364/OE.26.008397,2018-03-23,Delft University of Technology,['Opt. Express'],17
951,Dynamic and Structural Modeling of the Specificity in Protein-DNA Interactions Guided by Binding Assay and Structure Data,10.1021/acs.jctc.8b00299,2018-03-26,"Department of Biophysics, Graduate School of Science, Kyoto University",['J. Chem. Theory Comput.'],4
953,Temperature-dependent estimation of Gibbs energies using an updated group contribution method,10.1016/j.bpj.2018.04.030,2018-03-27,UC San Diego,['Biophysical Journal'],9
954,A simple and robust procedure for preparing graphene-oxide cryo-EM grids,10.1016/j.jsb.2018.07.007,2018-03-27,University of California San Francisco,['Journal of Structural Biology'],22
955,Visualizing structure-mediated interactions in supercoiled DNA molecules,10.1093/nar/gky266,2018-03-28,McGill University,[],12
956,Standardized microgel beads as elastic cell mechanical probes,10.1039/C8TB01421C,2018-03-28,"Center for Molecular and Cellular Bioengineering,TU-Dresden",['J. Mater. Chem. B'],20
957,Cell membranes resist flow,10.1016/j.cell.2018.09.054,2018-03-28,Harvard University,['Cell'],53
958,Entropic Forces Drive Clustering and Spatial Localization of Influenza A M2 During Viral Budding,10.1073/pnas.1805443115,2018-03-28,The University of Chicago,['Proc Natl Acad Sci USA'],11
959,Signal-to-Noise ratio made easy: A tool to assess your confocal performance,10.1038/s41598-018-37781-3,2018-03-29,"Imaging Core Facility, Biozentrum, University of Basel",['Sci Rep'],4
962,Identifying G protein-coupled receptor dimers from crystal packings,10.1107/s2059798318008136,2018-03-30,University of Washington,"['Acta Cryst Sect D Struct Biol', 'Acta Crystallogr D Struct Biol', 'Acta Cryst D Struct Biol', 'Acta Cryst D Biol Cryst', 'Acta Cryst D', 'Acta Crystallogr Sect D', 'Acta Crystallogr D Biol Crystallogr', 'Acta Cryst Sect D', 'Acta Crystallogr D', 'Acta Crystallogr Sect D Struct Biol']",9
963,"HIV-1 Env gp41 Transmembrane Domain Dynamics are Modulated by Lipid, Water, and Ion Interactions",10.1016/j.bpj.2018.05.022,2018-03-30,Virginia Tech,['Biophysical Journal'],4
964,Nonlinear calcium ion waves along actin filaments control active hair-bundle motility,10.1016/j.biosystems.2018.08.006,2018-03-30,"University of Alberta, Canada",['Biosystems'],2
969,The Structural Basis of IKs Ion-Channel Activation: Mechanistic Insights from Molecular Simulations,10.1016/j.bpj.2018.04.023,2018-03-30,Washington University in St. Louis,['Biophysical Journal'],6
971,The Organization of Membranes Below 100 nm: Experimental Breakthroughs Occasion a Modeling Manifesto,10.1016/j.bpj.2018.07.012,2018-03-31,Univ. of Delaware,['Biophysical Journal'],12
973,Monitoring Unfolding of Titin I27 single- and bi-Domain with High-Pressure NMR Spectroscopy.,10.1016/j.bpj.2018.06.010,2018-03-31,"INSERM U1054, CNRS UMR 5048, Montpellier UM",['Biophysical Journal'],1
